كد درس,نام درس,كد ارائه كلاس درس,استاد,زمانبندي تشكيل كلاس,مقطع ارائه درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي
4722169050,بازاريابي الكترونيكي,163330614,امير رضا استخريان حقيقي,پنج شنبه  از 09:45 تا 12:00 ,كارشناسي ارشد ناپيوسته,نظري,3,0
4722173617,تجارت الكترونيكي سيار و محاسبات فراگير,163330610,امير رضا استخريان حقيقي,پنج شنبه  از 07:30 تا 09:45 ,كارشناسي ارشد ناپيوسته,نظري,3,0
1396136015,شناسايي الگو,163330609,محمد علي تبرزد,پنج شنبه  از 07:30 تا 09:45 ,كارشناسي ارشد ناپيوسته,نظري,3,0
1392151857,مهندسي نرم‌افزار پيشرفته,163330608,غلامرضا ستوده,چهارشنبه  از 14:45 تا 17:00 ,كارشناسي ارشد ناپيوسته,نظري,3,0
4628137064,طراحي الگوريتم‌ها,163330255,عباس سيف نژاد,چهارشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628137064,طراحي الگوريتم‌ها,163330254,عباس سيف نژاد,چهارشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628137064,طراحي الگوريتم‌ها,163330253,عباس سيف نژاد,چهارشنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628137064,طراحي الگوريتم‌ها,163330252,عباس سيف نژاد,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628137064,طراحي الگوريتم‌ها,163330251,عباس سيف نژاد,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628155511,هوش مصنوعي و سيستم هاي خبره,163330250,,,كارشناسي پيوسته,نظري,3,0
4628155511,هوش مصنوعي و سيستم هاي خبره,163330249,,,كارشناسي پيوسته,نظري,3,0
4628155511,هوش مصنوعي و سيستم هاي خبره,163330248,زهراسادات عصايي معمم,چهارشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628155511,هوش مصنوعي و سيستم هاي خبره,163330247,زهراسادات عصايي معمم,دوشنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
1392114212,پردازش موازي,163330606,غلامرضا ستوده,چهارشنبه  از 12:30 تا 14:45 ,كارشناسي ارشد ناپيوسته,نظري,3,0
4628153620,نظريه زبان‌ها و ماشين‌ها,163330246,كريم حيدري,شنبه  از 14:45 تا 17:00 ,كارشناسي پيوسته,نظري,3,0
4628153620,نظريه زبان‌ها و ماشين‌ها,163330245,كريم حيدري,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628150474,معماري‌ كامپيوتر,163330244,,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628150474,معماري‌ كامپيوتر,163330243,,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628150474,معماري‌ كامپيوتر,163330242,,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628150474,معماري‌ كامپيوتر,163330241,,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330240,حسن عدلو,شنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330239,حسن عدلو,يكشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628147685,مدار‌هاي الكتريكي,163330238,حسن عدلو,يكشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
6138207658,آزمايشگاه پايگاه داده 2,163330319,,,كارشناسي پيوسته,كارگاهي,0,1
6138207658,آزمايشگاه پايگاه داده 2,163330318,,,كارشناسي پيوسته,كارگاهي,0,1
6138207657,آزمايشگاه هوش مصنوعي,163330316,مهدي بردبار,يكشنبه  از 10:30 تا 12:00 ,كارشناسي پيوسته,كارگاهي,0,1
6138207657,آزمايشگاه هوش مصنوعي,163330315,مهدي بردبار,يكشنبه  از 12:30 تا 14:00 ,كارشناسي پيوسته,كارگاهي,0,1
1396126171,رايانش تكاملي,163330603,الهام پروين نيا,چهارشنبه  از 09:45 تا 12:00 ,كارشناسي ارشد ناپيوسته,نظري,3,0
6138181288,اينترنت اشيا,163330314,مهدي بردبار,يكشنبه  از 07:30 تا 09:45 يكشنبه  از  از 17:00 تا 18:00 ,كارشناسي پيوسته,آزمايشگاهي,2,1
6138153355,نصب و راه‌اندازي شبكه,163330313,,,كارشناسي پيوسته,آزمايشگاهي,2,1
6138153355,نصب و راه‌اندازي شبكه,163330312,,,كارشناسي پيوسته,آزمايشگاهي,2,1
6138206055,برنامه نويسي موبايل,163330309,,شنبه  از 09:45 تا 12:00 شنبه  از  از 17:00 تا 18:00 ,كارشناسي پيوسته,آزمايشگاهي,2,1
6138207655,آزمايشگاه طراحي واسط كاربري,163330310,,يكشنبه  از 15:30 تا 17:00 ,كارشناسي پيوسته,كارگاهي,0,1
6138207655,آزمايشگاه طراحي واسط كاربري,163330311,,يكشنبه  از 17:00 تا 18:30 ,كارشناسي پيوسته,كارگاهي,0,1
4628116851,تجارت الكترونيك,163330308,,چهارشنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628116851,تجارت الكترونيك,163330307,,دوشنبه  از 12:30 تا 14:45 ,كارشناسي پيوسته,نظري,3,0
4628144960,مباني رايانش امن,163330306,منصوره زارع,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
4628144960,مباني رايانش امن,163330305,منصوره زارع,شنبه  از 09:45 تا 12:00 ,كارشناسي پيوسته,نظري,3,0
4628162051,يكپارچه سازي كاربردهاي سازماني,163330304,,شنبه  از 07:30 تا 09:45 ,كارشناسي پيوسته,نظري,3,0
