"كد درس","نام درس","كد ارائه کلاس درس","استاد","مقطع ارائه درس","زمانبندي تشکيل کلاس","نوع درس","تعداد واحد نظري","تعداد واحد عملي","نام كلاس درس","نوع ارائه","سطح ارائه","حداقل ظرفيت","حداكثر ظرفيت","زمان امتحان","مكان برگزاري","گروه آموزشی","دانشکده","واحد","استان"
"1399142463","گرافیک‌ کامپیوتری‌ 1","163330452",,"كارشناسي ناپيوسته","شنبه از 07:30 تا 09:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/05 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399150474","معماری‌ کامپیوتر","163330451",,"كارشناسي ناپيوسته","شنبه از 07:30 تا 09:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/10/26 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399150474","معماری‌ کامپیوتر","163330450",,"كارشناسي ناپيوسته","يكشنبه از 07:30 تا 09:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/10/26 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293143364","مباحث‌ ویژه‌","163330443",,"كارشناسي ناپيوسته","چهارشنبه از 09:45 تا 12:00","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/11/01 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399143364","مباحث‌ ویژه‌","163330442",,"كارشناسي ناپيوسته","چهارشنبه از 09:45 تا 12:00","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/11/01 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293135053","سیستمهای چند رسانه ای","163330441",,"كارشناسي ناپيوسته","چهارشنبه از 09:45 تا 12:00","نظري_عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/03 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399147565","محیط‌ های‌ چندرسانه‌ ای‌","163330440",,"كارشناسي ناپيوسته","چهارشنبه از 09:45 تا 12:00","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/11/03 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4628135053","سیستمهای چند رسانه ای","163330439",,"كارشناسي ناپيوسته","چهارشنبه از 09:45 تا 12:00","نظري","3","0",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/11/03 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138150350","معادلات‌ دیفرانسیل‌","163114122222922",,"كارشناسي ناپيوسته","چهارشنبه از 12:30 تا 14:45","نظري","3","0",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/05 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399137221","طراحی پیاده سازی زبانهای برنامه نویسی","163330438",,"كارشناسي ناپيوسته","دوشنبه از 12:30 تا 14:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/04 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138137063","طراحی الگوریتم","163330437",,"كارشناسي ناپيوسته","چهارشنبه از 07:30 تا 09:45","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/03 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138137063","طراحی الگوریتم","163330436",,"كارشناسي ناپيوسته","شنبه از 09:45 تا 12:00","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/03 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399137064","طراحی الگوریتم‌ها","163330435",,"كارشناسي ناپيوسته","شنبه از 09:45 تا 12:00","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2","1401/11/03 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399137064","طراحی الگوریتم‌ها","163330434",,"كارشناسي ناپيوسته","چهارشنبه از 07:30 تا 09:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/03 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138111667","برنامه‌سازی پیشرفته","163330429",,"كارشناسي ناپيوسته","يكشنبه از 12:30 تا 14:45","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"0","1401/10/28 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293164527","آزمایشگاه مهندسی نرم افزاز","163330428",,"كارشناسي ناپيوسته","شنبه از 17:00 تا 18:30","عملي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293164527","آزمایشگاه مهندسی نرم افزاز","163330427",,"كارشناسي ناپيوسته","يكشنبه از 17:00 تا 18:30","عملي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399164527","آزمایشگاه مهندسی نرم افراز","163330426",,"كارشناسي ناپيوسته","چهارشنبه از 17:00 تا 18:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399164527","آزمایشگاه مهندسی نرم افراز","163330425",,"كارشناسي ناپيوسته","سه شنبه از 17:00 تا 18:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399164527","آزمایشگاه مهندسی نرم افراز","163330424",,"كارشناسي ناپيوسته","دوشنبه از 17:00 تا 18:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330423",,"كارشناسي ناپيوسته","دوشنبه از 17:00 تا 18:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330422",,"كارشناسي ناپيوسته","شنبه از 09:00 تا 10:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"12","1401/10/17 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330421",,"كارشناسي ناپيوسته","شنبه از 07:30 تا 09:00","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"12","1401/10/17 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330420",,"كارشناسي ناپيوسته","دوشنبه از 17:00 تا 18:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"4",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330419",,"كارشناسي ناپيوسته","دوشنبه از 15:30 تا 17:00","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"4",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330418",,"كارشناسي ناپيوسته","دوشنبه از 14:00 تا 15:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330417",,"كارشناسي ناپيوسته","يكشنبه از 17:00 تا 18:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"2",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330416",,"كارشناسي ناپيوسته","شنبه از 09:00 تا 10:30","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"12","1401/10/17 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399101505","آزمایشگاه ‌معماری‌ کامپیوتر","163330415",,"كارشناسي ناپيوسته","شنبه از 07:30 تا 09:00","آزمايشگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"12","1401/10/17 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1884102515","آزمایشگاه فیزیک 2","163330410",,"كارشناسي ناپيوسته","يكشنبه از 09:00 تا 10:30","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3","1401/10/21 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138102924","آزمایشگاه مهندسی نرم‌افزار","163330960",,"كارشناسي ناپيوسته","دوشنبه از 17:00 تا 18:30","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138102924","آزمایشگاه مهندسی نرم‌افزار","163330959",,"كارشناسي ناپيوسته","شنبه از 17:00 تا 18:30","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138102924","آزمایشگاه مهندسی نرم‌افزار","163330958",,"كارشناسي ناپيوسته","يكشنبه از 17:00 تا 18:30","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138102924","آزمایشگاه مهندسی نرم‌افزار","163114122222861",,"كارشناسي ناپيوسته","چهارشنبه از 17:00 تا 18:30","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"3",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293136602","شیوه ارایه مطالب علمی و فنی","163330402",,"كارشناسي ناپيوسته","سه شنبه از 09:00 تا 10:30","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/10/26 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399136608","شیوه ارایه مطالب علمی وفنی","163330401",,"كارشناسي ناپيوسته","سه شنبه از 09:00 تا 10:30","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/10/26 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"4293136941","ط‌راحی‌ صفحات‌ وب‌","163330396",,"كارشناسي ناپيوسته","چهارشنبه از 12:30 تا 14:45","عملي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"0","1401/11/03 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1399136941","ط‌راحی‌ صفحات‌ وب‌","163330395",,"كارشناسي ناپيوسته","چهارشنبه از 12:30 تا 14:45","عملي","2","1","دکتر صدیقی","حضوري","ارائه در سطح گروه آموزشی",,"25","1401/11/03 از 08:00 تا 10:00","مرکز رایانه 110 دانشکده مهندسی 1","گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138156372","کارآموزی","163330394",,"كارشناسي ناپيوسته",,"كارآموزي","0","2",,"حضوري","ارائه در سطح گروه آموزشی",,"3",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138151527","مهندسی‌ اینترنت‌","163330382",,"كارشناسي ناپيوسته","يكشنبه از 14:45 تا 17:00","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/11/04 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138143364","مباحث‌ ویژه‌","163330381",,"كارشناسي ناپيوسته","چهارشنبه از 09:45 تا 12:00","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"25","1401/11/03 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138129687","ریاضی‌ گسسته‌","163114122222827",,"كارشناسي ناپيوسته","پنج شنبه از 07:30 تا 09:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/10/26 از 08:00 تا 10:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138129687","ریاضی‌ گسسته‌","163114122222826",,"كارشناسي ناپيوسته","چهارشنبه از 07:30 تا 09:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/10/26 از 08:00 تا 10:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138171999","سیستمهای اطلاعات مدیریت","163330379",,"كارشناسي ناپيوسته","يكشنبه از 09:45 تا 12:00","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"25","1401/11/05 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138206597","زبان‌ تخصصی","163330377",,"كارشناسي ناپيوسته","دوشنبه از 07:30 تا 09:00","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"25","1401/11/04 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138159787","کارگاه سیستم عامل","163330372",,"كارشناسي ناپيوسته","دوشنبه از 10:30 تا 12:00","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"15",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138151529","مهندسی‌ نرم‌ افزار","163330370",,"كارشناسي ناپيوسته","سه شنبه از 07:30 تا 09:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"15","1401/10/26 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138151529","مهندسی‌ نرم‌ افزار","163330369",,"كارشناسي ناپيوسته","دوشنبه از 09:45 تا 12:00","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"15","1401/10/26 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138151529","مهندسی‌ نرم‌ افزار","163330368",,"كارشناسي ناپيوسته","دوشنبه از 07:30 تا 09:45","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"10","1401/10/26 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138171999","سیستمهای اطلاعات مدیریت","163330367",,"كارشناسي ناپيوسته","شنبه از 12:30 تا 14:45","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"15","1401/11/05 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138150474","معماری‌ کامپیوتر","163330366",,"كارشناسي ناپيوسته","شنبه از 09:45 تا 12:00","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"15","1401/10/26 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138150474","معماری‌ کامپیوتر","163330365",,"كارشناسي ناپيوسته","شنبه از 07:30 تا 09:45","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"15","1401/10/26 از 13:30 تا 15:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1398135313","سیگنالها وسیستم ها","163330364",,"كارشناسي ناپيوسته","يكشنبه از 09:45 تا 12:00","نظري","3","0",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/10/24 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138171999","سیستمهای اطلاعات مدیریت","163330362",,"كارشناسي ناپيوسته","چهارشنبه از 07:30 تا 09:45","آزمايشگاهي","2","1",,"حضوري","ارائه در سطح گروه آموزشی",,"20","1401/11/05 از 15:30 تا 17:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138206597","زبان‌ تخصصی","163330360",,"كارشناسي ناپيوسته","يكشنبه از 09:00 تا 10:30","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"20","1401/11/04 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1603130341","ریزپردازنده و زبان اسمبلی","163330357",,"كارشناسي ناپيوسته","دوشنبه از 09:45 تا 12:00","نظري","3","0",,"حضوري","ارائه در سطح گروه آموزشی",,"5","1401/10/29 از 10:30 تا 12:30",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"1603129022","روشهای پژوهش و ارایه","163330355",,"كارشناسي ناپيوسته","سه شنبه از 07:30 تا 09:00","نظري","2","0",,"حضوري","ارائه در سطح گروه آموزشی",,"2","1401/10/26 از 08:00 تا 10:00",,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
"6138159787","کارگاه سیستم عامل","163330351",,"كارشناسي ناپيوسته","دوشنبه از 12:30 تا 14:00","كارگاهي","0","1",,"حضوري","ارائه در سطح گروه آموزشی",,"15",,,"گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330)","163 - شيراز(163)","163 - شيراز(71163)","71 - فارس(71)"
