ردیف,كد,نام,نوع درس,مقطع درس,تعداد واحد نظري,تعداد واحد عملي,تعداد ساعت نظري,تعداد ساعت عملي,مرجع تصويب درس
47,92608,ریاضی‌عمومی‌ 2,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
48,1603114947,پروژه فناوری اطلاعات,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
49,1884156372,کارآموزی,كارآموزي,,0,1,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
50,4293156372,کارآموزی,كارآموزي,,0,3,0,360,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
51,90180,زبان خارجی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
52,1587156372,کارآموزی,كارآموزي,,0,2,0,240,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
53,90044,اخلاق وتربیت اسلامی,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
54,4434106071,اصول مهندسی تونل,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
55,90763,تفسیر موضوعی قرآن,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
56,90128,دانش خانواده و جمعیت,نظري,,2,0,32,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
57,1398107859,آمار واحتمالات‌ مهندسی,نظري,,3,0,51,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
58,1399183688,پروژه نرم افزار,عملي,,0,3,0,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
59,90029,فارسی,نظري,,3,0,48,0,دفتر برنامه ریزی آموزشی و درسی دانشگاه آزاد
